id_student,risk_level,risk_probability,alert_reasons,total_clicks,active_days_ratio,completed_first_assessment,first_assessment_score,gender,age_band,highest_education
624259,Critical,0.8793468122388337,Very low activity: only 42 clicks in first 2 weeks; Repeat student: 2 previous attempt(s); Lower educational background may need additional support,11.0,0.0714285714285714,0,,M,0-35,Lower Than A Level
572249,Critical,0.8779552188074179,Very low activity: only 15 clicks in first 2 weeks; Inactive recently: last activity 11 days ago; Has not completed first assessment; Lower educational background may need additional support,5.0,0.0714285714285714,0,,M,0-35,Lower Than A Level
551979,Critical,0.8777975736441048,Very low activity: only 43 clicks in first 2 weeks; Poor engagement: active only 1 days out of 14; Inactive recently: last activity 12 days ago; Has not completed first assessment; Repeat student: 2 previous attempt(s),40.0,0.3571428571428571,0,,M,0-35,Lower Than A Level
551190,Critical,0.8774430342889975,Very low activity: only 46 clicks in first 2 weeks; Has not completed first assessment; Repeat student: 1 previous attempt(s),15.0,0.0714285714285714,0,,M,35-55,A Level or Equivalent
349069,Critical,0.8773900958589437,Very low activity: only 0 clicks in first 2 weeks; Poor engagement: active only 0 days out of 14; Inactive recently: last activity 14 days ago; Has not completed first assessment; Repeat student: 4 previous attempt(s); Lower educational background may need additional support,25.0,0.1428571428571428,0,40.0,M,0-35,Lower Than A Level
349069,Critical,0.8773900958589437,Very low activity: only 0 clicks in first 2 weeks; Poor engagement: active only 0 days out of 14; Inactive recently: last activity 14 days ago; Has not completed first assessment,45.0,0.1428571428571428,0,,M,0-35,Lower Than A Level
435803,Critical,0.8768897884535981,Very low activity: only 0 clicks in first 2 weeks; Poor engagement: active only 0 days out of 14; Inactive recently: last activity 14 days ago; Has not completed first assessment; Repeat student: 2 previous attempt(s); Lower educational background may need additional support,29.0,0.2142857142857142,0,,F,0-35,Lower Than A Level
363122,Critical,0.8768679800074025,Very low activity: only 4 clicks in first 2 weeks; Has not completed first assessment; Repeat student: 2 previous attempt(s); Lower educational background may need additional support,12.0,0.0714285714285714,0,,M,0-35,Lower Than A Level
2710343,Critical,0.8760780709803508,Very low activity: only 0 clicks in first 2 weeks; Poor engagement: active only 0 days out of 14; Inactive recently: last activity 14 days ago; Has not completed first assessment; Lower educational background may need additional support,0.0,0.0,0,,M,0-35,Lower Than A Level
2710343,Critical,0.8760780709803508,Very low activity: only 38 clicks in first 2 weeks; Has not completed first assessment; Repeat student: 1 previous attempt(s); Lower educational background may need additional support,0.0,0.0,0,,M,0-35,Lower Than A Level
533731,Critical,0.8758334475410429,Very low activity: only 0 clicks in first 2 weeks; Poor engagement: active only 0 days out of 14; Inactive recently: last activity 14 days ago; Has not completed first assessment; Repeat student: 2 previous attempt(s); Lower educational background may need additional support,36.0,0.2142857142857142,0,,M,0-35,Lower Than A Level
91164,Critical,0.8757168849384331,Low activity: 66 clicks (median is 132); Has not completed first assessment; Repeat student: 2 previous attempt(s); Lower educational background may need additional support,19.0,0.0714285714285714,0,,M,35-55,HE Qualification
425136,Critical,0.8757107047120941,Very low activity: only 13 clicks in first 2 weeks; Inactive recently: last activity 10 days ago; Has not completed first assessment,16.0,0.0714285714285714,0,,M,0-35,Lower Than A Level
446295,Critical,0.8755676201472609,Very low activity: only 0 clicks in first 2 weeks; Poor engagement: active only 0 days out of 14; Inactive recently: last activity 14 days ago; Has not completed first assessment; Repeat student: 1 previous attempt(s); Lower educational background may need additional support,223.0,0.2857142857142857,0,,M,0-35,Lower Than A Level
446295,Critical,0.8755676201472609,Very low activity: only 9 clicks in first 2 weeks; Poor engagement: active only 1 days out of 14; Inactive recently: last activity 18 days ago; Has not completed first assessment,46.0,0.2857142857142857,0,,M,0-35,Lower Than A Level
626183,Critical,0.8754045643541442,Has not completed first assessment; Repeat student: 2 previous attempt(s); Lower educational background may need additional support,139.0,0.6428571428571429,0,,M,0-35,Lower Than A Level
